,5100,9,7000,1112,1560,M5107
2019-11-28
8:43,4,15,29,18,26,12
10:13,1,11,16,1,30,4
11:43,16,10,7,22,1,5
13:15,5,1,6,13,1,10
14:42,9,5,7,15,21,7
16:13,4,5,8,6,1,8
2019-11-29
8:43,1,1,1,14,5,3
10:13,6,8,13,7,21,5
11:43,5,8,14,13,1,4
13:15,4,9,8,14,15,3
14:42,7,1,18,4,7,8
16:13,5,8,10,7,6,9
2019-12-02
8:43,5,6,7,19,13,9
10:13,8,1,10,11,37,9
11:43,3,11,4,21,6,2
13:15,6,22,18,16,1,2
14:42,10,2,1,2,13,9
16:13,4,7,9,9,1,8
2019-12-03
8:43,2,7,17,3,5,7
10:13,10,8,22,6,20,2
11:43,12,9,1,3,1,2
13:16,1,9,1,11,1,1
14:42,9,1,19,12,24,2
16:13,4,2,9,5,1,8
2019-12-04
8:43,9,5,11,1,3,6
10:13,4,14,11,11,14,10
11:43,5,7,3,10,1,8
13:15,17,3,10,12,1,6
14:42,1,3,8,1,6,9
16:13,9,16,11,21,13,12
2019-12-05
8:43,5,9,8,24,13,5
10:13,1,15,8,1,13,7
11:43,18,7,6,1,1,3
13:15,1,1,8,18,1,7
